Date,최고가,최저가,시작가,종가,거래량,등락
2019-08-01,2032.22998046875,2009.3299560546875,2015.0899658203125,2017.3399658203125,461700,0
2019-08-02,2005.31005859375,1987.1199951171875,1995.31005859375,1998.1300048828125,438500,0
2019-08-05,1987.6400146484375,1945.3900146484375,1985.9300537109375,1946.97998046875,639600,0
2019-08-06,1948.530029296875,1891.81005859375,1900.3599853515625,1917.5,739600,0
2019-08-07,1929.2900390625,1901.6099853515625,1925.3299560546875,1909.7099609375,760800,1
2019-08-08,1937.949951171875,1915.81005859375,1926.280029296875,1920.6099853515625,777200,1
2019-08-09,1946.93994140625,1936.1400146484375,1940.06005859375,1937.75,654300,1
2019-08-12,1949.18994140625,1933.25,1941.530029296875,1942.2900390625,427100,0
2019-08-13,1937.6800537109375,1923.5799560546875,1928.760009765625,1925.8299560546875,660000,1
2019-08-14,1952.219970703125,1937.22998046875,1946.1800537109375,1938.3699951171875,699600,0
2019-08-16,1927.699951171875,1911.719970703125,1921.489990234375,1927.1700439453125,421700,1
2019-08-19,1943.0899658203125,1931.43994140625,1936.6400146484375,1939.9000244140625,481000,1
2019-08-20,1964.1600341796875,1937.530029296875,1942.989990234375,1960.25,463600,1
2019-08-21,1971.1199951171875,1954.469970703125,1954.5699462890625,1964.6500244140625,391600,0
2019-08-22,1967.9599609375,1951.010009765625,1966.5999755859375,1951.010009765625,435600,0
2019-08-23,1953.8499755859375,1940.5999755859375,1942.4200439453125,1948.300048828125,381100,0
2019-08-26,1924.489990234375,1909.9200439453125,1915.3399658203125,1916.31005859375,324900,1
2019-08-27,1937.4200439453125,1919.280029296875,1928.97998046875,1924.5999755859375,427000,1
2019-08-28,1943.6199951171875,1926.4300537109375,1929.9599609375,1941.0899658203125,284300,0
2019-08-29,1947.1500244140625,1928.489990234375,1943.550048828125,1933.4100341796875,285100,1
2019-08-30,1971.2099609375,1951.300048828125,1951.6600341796875,1967.7900390625,317700,1
2019-09-02,1973.25,1958.5899658203125,1961.18994140625,1969.18994140625,262200,0
2019-09-03,1976.3699951171875,1960.1500244140625,1966.5,1965.68994140625,342100,1
2019-09-04,1988.530029296875,1962.0799560546875,1962.4300537109375,1988.530029296875,348700,1
2019-09-05,2015.3900146484375,1992.510009765625,1993.6199951171875,2004.75,488100,1
2019-09-06,2017.199951171875,2005.68994140625,2016.1099853515625,2009.1300048828125,384400,1
2019-09-09,2029.800048828125,2013.280029296875,2013.3800048828125,2019.550048828125,511800,1
2019-09-10,2034.280029296875,2021.5799560546875,2024.7900390625,2032.0799560546875,504400,1
2019-09-11,2050.800048828125,2040.0400390625,2043.719970703125,2049.199951171875,429100,1
2019-09-16,2062.219970703125,2044.800048828125,2056.260009765625,2062.219970703125,493500,1
2019-09-17,2066.330078125,2055.169921875,2058.719970703125,2062.330078125,508000,1
2019-09-18,2075.6298828125,2058.52001953125,2064.419921875,2070.72998046875,613100,1
2019-09-19,2089.81005859375,2070.530029296875,2070.530029296875,2080.35009765625,493000,1
2019-09-20,2092.3701171875,2077.300048828125,2080.860107421875,2091.52001953125,589900,1
2019-09-23,2095.5400390625,2085.60009765625,2087.699951171875,2091.699951171875,420900,1
2019-09-24,2101.6298828125,2085.909912109375,2090.18994140625,2101.0400390625,535800,0
2019-09-25,2095.27001953125,2072.409912109375,2093.469970703125,2073.389892578125,651600,1
2019-09-26,2087.330078125,2064.340087890625,2082.659912109375,2074.52001953125,430600,0
2019-09-27,2066.9599609375,2044.75,2066.9599609375,2049.929931640625,285900,1
2019-09-30,2064.989990234375,2042.010009765625,2045.77001953125,2063.050048828125,327600,1
2019-10-01,2077.47998046875,2057.909912109375,2062.43994140625,2072.419921875,389300,0
2019-10-02,2058.22998046875,2031.9100341796875,2058.22998046875,2031.9100341796875,414500,0
2019-10-04,2039.4300537109375,2020.68994140625,2028.4000244140625,2020.68994140625,402900,1
2019-10-07,2034.93994140625,2016.18994140625,2031.530029296875,2021.72998046875,322200,1
2019-10-08,2046.81005859375,2024.6300048828125,2029.3699951171875,2046.25,437500,0
2019-10-10,2040.8800048828125,2010.9000244140625,2030.1300048828125,2028.1500244140625,445800,1
2019-10-11,2053.93994140625,2040.47998046875,2048.080078125,2044.6099853515625,381100,1
2019-10-14,2075.10009765625,2065.530029296875,2068.1298828125,2067.39990234375,511200,1
2019-10-15,2073.2099609375,2064.340087890625,2064.780029296875,2068.169921875,464500,1
2019-10-16,2090.010009765625,2073.800048828125,2080.919921875,2082.830078125,524500,0
2019-10-17,2087.14990234375,2072.489990234375,2081.760009765625,2077.93994140625,314200,0
2019-10-18,2088.5400390625,2057.889892578125,2082.22998046875,2060.68994140625,516700,1
2019-10-21,2067.969970703125,2059.330078125,2067.969970703125,2064.840087890625,606100,1
2019-10-22,2093.81005859375,2073.080078125,2076.2900390625,2088.860107421875,504100,0
2019-10-23,2088.25,2074.8798828125,2086.81005859375,2080.6201171875,429500,1
2019-10-24,2089.85009765625,2067.89990234375,2089.85009765625,2085.659912109375,367700,1
2019-10-25,2091.239990234375,2079.300048828125,2091.159912109375,2087.889892578125,348700,1
2019-10-28,2104.389892578125,2089.760009765625,2096.669921875,2093.60009765625,269200,0
2019-10-29,2105.169921875,2088.0400390625,2103.919921875,2092.68994140625,357700,0
2019-10-30,2093.510009765625,2075.5400390625,2093.510009765625,2080.27001953125,415600,1
2019-10-31,2103.7099609375,2083.47998046875,2089.219970703125,2083.47998046875,461300,1
2019-11-01,2100.419921875,2081.530029296875,2084.7900390625,2100.199951171875,418300,1
2019-11-04,2130.830078125,2111.320068359375,2111.320068359375,2130.239990234375,476300,1
2019-11-05,2143.1201171875,2128.699951171875,2133.659912109375,2142.639892578125,400600,1
2019-11-06,2156.22998046875,2138.830078125,2142.68994140625,2144.14990234375,410100,1
2019-11-07,2147.010009765625,2135.449951171875,2141.050048828125,2144.2900390625,425700,0
2019-11-08,2155.93994140625,2133.75,2154.179931640625,2137.22998046875,574100,0
2019-11-11,2139.070068359375,2119.070068359375,2139.070068359375,2124.090087890625,617300,1
2019-11-12,2140.93994140625,2121.800048828125,2131.260009765625,2140.919921875,610400,0
2019-11-13,2133.3701171875,2118.669921875,2132.47998046875,2122.449951171875,664400,1
2019-11-14,2139.22998046875,2121.320068359375,2127.5400390625,2139.22998046875,521100,1
2019-11-15,2165.02001953125,2135.260009765625,2137.9599609375,2162.179931640625,556200,0
2019-11-18,2165.889892578125,2151.969970703125,2161.889892578125,2160.68994140625,489200,0
2019-11-19,2154.409912109375,2137.010009765625,2151.0400390625,2153.239990234375,826900,0
2019-11-20,2145.969970703125,2123.800048828125,2140.06005859375,2125.320068359375,581100,0
2019-11-21,2125.360107421875,2088.18994140625,2123.64990234375,2096.60009765625,579600,1
2019-11-22,2106.419921875,2093.989990234375,2098.889892578125,2101.9599609375,519900,1
2019-11-25,2130.0400390625,2116.070068359375,2117.139892578125,2123.5,397700,0
2019-11-26,2139.639892578125,2120.85009765625,2129.27001953125,2121.35009765625,532600,1
2019-11-27,2136.300048828125,2118.070068359375,2134.469970703125,2127.85009765625,367800,0
2019-11-28,2127.75,2116.580078125,2116.929931640625,2118.60009765625,335200,0
2019-11-29,2125.530029296875,2085.10009765625,2125.530029296875,2087.9599609375,433300,1
2019-12-02,2103.8701171875,2088.919921875,2097.550048828125,2091.919921875,385300,0
2019-12-03,2085.7099609375,2066.60009765625,2075.02001953125,2084.070068359375,450000,0
2019-12-04,2072.909912109375,2057.449951171875,2070.840087890625,2068.889892578125,347000,0
2019-12-05,2084.2900390625,2053.56005859375,2078.31005859375,2060.739990234375,472200,1
2019-12-06,2084.43994140625,2070.169921875,2072.43994140625,2081.85009765625,440200,1
2019-12-09,2093.81005859375,2084.31005859375,2091.93994140625,2088.64990234375,393100,1
2019-12-10,2100.47998046875,2080.159912109375,2081.219970703125,2098.0,500100,1
2019-12-11,2109.219970703125,2092.47998046875,2098.280029296875,2105.6201171875,668700,1
2019-12-12,2138.929931640625,2120.1298828125,2120.1298828125,2137.35009765625,584600,1
2019-12-13,2170.25,2159.449951171875,2164.6298828125,2170.25,540000,0
2019-12-16,2175.010009765625,2166.2900390625,2168.050048828125,2168.14990234375,377100,1
2019-12-17,2196.010009765625,2171.090087890625,2179.39990234375,2195.679931640625,599500,0
2019-12-18,2204.0400390625,2187.320068359375,2194.919921875,2194.760009765625,591100,1
2019-12-19,2204.72998046875,2186.590087890625,2199.419921875,2196.56005859375,643100,1
2019-12-20,2206.820068359375,2194.800048828125,2205.570068359375,2204.179931640625,646700,0
2019-12-23,2209.199951171875,2196.429931640625,2208.219970703125,2203.7099609375,502000,0
2019-12-24,2206.22998046875,2187.580078125,2206.22998046875,2190.080078125,570000,1
2019-12-26,2198.010009765625,2183.89990234375,2192.219970703125,2197.929931640625,571300,1
2019-12-27,2215.550048828125,2177.39990234375,2183.699951171875,2204.2099609375,490200,0
2019-12-30,2208.0400390625,2195.64990234375,2202.6201171875,2197.669921875,416400,0
2020-01-02,2202.320068359375,2171.840087890625,2201.2099609375,2175.169921875,494700,1
2020-01-03,2203.3798828125,2165.389892578125,2192.580078125,2176.4599609375,631600,0
2020-01-06,2164.419921875,2149.949951171875,2154.969970703125,2155.070068359375,592700,1
2020-01-07,2181.6201171875,2164.27001953125,2166.60009765625,2175.5400390625,568200,0
2020-01-08,2162.320068359375,2137.719970703125,2156.27001953125,2151.31005859375,913800,1
2020-01-09,2186.449951171875,2172.159912109375,2182.199951171875,2186.449951171875,592600,1
2020-01-10,2206.919921875,2188.10009765625,2189.47998046875,2206.389892578125,594500,1
2020-01-13,2230.429931640625,2204.489990234375,2204.489990234375,2229.260009765625,488300,1
2020-01-14,2250.7900390625,2232.93994140625,2243.06005859375,2238.8798828125,835900,0
2020-01-15,2238.2099609375,2223.389892578125,2229.800048828125,2230.97998046875,746200,1
2020-01-16,2249.090087890625,2225.409912109375,2231.929931640625,2248.050048828125,808300,1
2020-01-17,2268.7099609375,2245.580078125,2261.570068359375,2250.570068359375,580800,1
2020-01-20,2277.22998046875,2258.090087890625,2261.39990234375,2262.639892578125,545500,0
2020-01-21,2266.31005859375,2238.25,2259.81005859375,2239.68994140625,770300,1
2020-01-22,2269.27001953125,2235.1298828125,2238.530029296875,2267.25,608500,0
2020-01-23,2260.6298828125,2241.93994140625,2254.5400390625,2246.1298828125,509600,0
2020-01-28,2199.929931640625,2166.22998046875,2192.219970703125,2176.719970703125,808500,1
2020-01-29,2195.449951171875,2172.330078125,2188.179931640625,2185.280029296875,692300,0
2020-01-30,2187.449951171875,2139.719970703125,2181.5400390625,2148.0,602700,0
2020-01-31,2167.22998046875,2119.010009765625,2160.60009765625,2119.010009765625,710500,0
